year,city,country,avg_temp
1973,Ankara,Turkey,10.15
1974,Ankara,Turkey,10.29
1975,Ankara,Turkey,10.31
1976,Ankara,Turkey,9.60
1977,Ankara,Turkey,10.64
1978,Ankara,Turkey,11.01
1979,Ankara,Turkey,11.70
1980,Ankara,Turkey,10.70
1981,Ankara,Turkey,11.54
1982,Ankara,Turkey,10.30
1983,Ankara,Turkey,10.22
1984,Ankara,Turkey,10.67
1985,Ankara,Turkey,10.63
1986,Ankara,Turkey,11.20
1987,Ankara,Turkey,10.30
1988,Ankara,Turkey,10.52
1989,Ankara,Turkey,10.67
1990,Ankara,Turkey,10.51
1991,Ankara,Turkey,10.37
1992,Ankara,Turkey,9.06
1993,Ankara,Turkey,9.96
1994,Ankara,Turkey,11.70
1995,Ankara,Turkey,10.93
1996,Ankara,Turkey,11.29
1997,Ankara,Turkey,10.13
1998,Ankara,Turkey,11.72
1999,Ankara,Turkey,11.69
2000,Ankara,Turkey,10.39
2001,Ankara,Turkey,12.32
2002,Ankara,Turkey,10.81
2003,Ankara,Turkey,11.28
2004,Ankara,Turkey,10.99
2005,Ankara,Turkey,11.24
2006,Ankara,Turkey,11.12
2007,Ankara,Turkey,11.87
2008,Ankara,Turkey,11.33
2009,Ankara,Turkey,11.63
2010,Ankara,Turkey,13.27
2011,Ankara,Turkey,10.39
2012,Ankara,Turkey,11.45
2013,Ankara,Turkey,13.27
